fish_id,sample_type,mean_ash_percent,sd,replicate,type,species
MOO18F180,AE2,15.9,NA,1,poop,Abudefduf_sexfasciatus
MOO18F202,AE2,85,10.6,3,poop,Abudefduf_sexfasciatus
MOO18F391,AE2,NA,NA,1,poop,Abudefduf_sexfasciatus
MOO18F392,AE2,31.8,NA,1,poop,Abudefduf_sexfasciatus
MOO18F042,AE2,45.8,NA,1,poop,Acanthurus_nigricans
MOO18F214,AE2,64.5,NA,1,poop,Acanthurus_nigricans
MOO18F379,AE2,60.7,NA,1,poop,Acanthurus_nigricans
MOO18FE122,AE2,54.6,NA,1,poop,Acanthurus_nigricans
MOO18FE130,AE2,53.5,NA,1,poop,Acanthurus_nigricans
MOO18F187,AE2,33,NA,1,poop,Acanthurus_triostegus
MOO18F189,AE2,29.3,NA,1,poop,Acanthurus_triostegus
MOO18FE005,AE2,32.5,NA,1,poop,Acanthurus_triostegus
MOO18FE006,AE2,29.9,NA,1,poop,Acanthurus_triostegus
MOO18F349,AE2,11.4,NA,1,poop,Aulostomus_chinensis
MOO18F466,AE2,61.6,0.8,3,poop,Aulostomus_chinensis
MOO18F128,AE2,77.4,NA,1,poop,Balistapus_undulatus
MOO18F426,AE2,61.5,NA,1,poop,Balistapus_undulatus
MOO18FE057,AE2,87.1,NA,1,poop,Balistapus_undulatus
MOO18FE080,AE2,86,NA,1,poop,Balistapus_undulatus
MOO18F412,AE2,40.8,NA,1,poop,Centropyge_flavissima
MOO18FE069,AE2,52.4,NA,1,poop,Centropyge_flavissima
MOO18F070,AE2,57,NA,1,poop,Cephalopholis_argus
MOO18F071,AE2,65.3,NA,1,poop,Cephalopholis_argus
MOO18F267,AE1,59.6,NA,1,poop,Cephalopholis_argus
MOO18F345,AE2,78.3,NA,1,poop,Cephalopholis_argus
MOO18FE028,AE2,68.9,NA,1,poop,Cephalopholis_argus
MOO18F129,AE2,49.3,NA,1,poop,Cephalopholis_urodeta
MOO18F227,AE2,62.8,NA,1,poop,Cephalopholis_urodeta
MOO18FE019,AE2,61.7,NA,1,poop,Cephalopholis_urodeta
MOO18FE051,AE2,50.1,NA,1,poop,Cephalopholis_urodeta
MOO18FE061,AE2,63.3,NA,1,poop,Cephalopholis_urodeta
MOO18F082,AE2,28.3,NA,1,poop,Chaetodon_auriga
MOO18F461,AE2,41.5,NA,1,poop,Chaetodon_auriga
MOO18F112,AE2,18.3,NA,1,poop,Chaetodon_vagabundus
MOO18F447,AE2,16.9,NA,1,poop,Chaetodon_vagabundus
MOO18FE067,AE2,23.8,NA,1,poop,Chaetodon_vagabundus
MOO18FE076,AE2,34.7,NA,1,poop,Chaetodon_vagabundus
MOO18FE077,AE2,23.3,NA,1,poop,Chaetodon_vagabundus
MOO18F177,AE2,85.5,NA,1,poop,Cheilinus_chlorourus
MOO18F290,AE2,96.5,NA,1,poop,Cheilinus_chlorourus
MOO18F411,AE2,67.8,NA,1,poop,Cheilinus_chlorourus
MOO18F444,AE2,79.4,NA,1,poop,Cheilinus_chlorourus
MOO18FE073,AE2,53.7,1,2,poop,Dascyllus_flavicaudus
MOO18FE125,AE2,9.8,0.8,3,poop,Dascyllus_flavicaudus
MOO18F266,AE2,77.3,4.5,2,poop,Epibulus_insidiator
MOO18F307,AE2,68.5,0.6,3,poop,Epibulus_insidiator
MOO18FE121,AE2,48.9,1.3,3,poop,Epibulus_insidiator
MOO18FE129,AE2,32.6,0.3,3,poop,Epibulus_insidiator
MOO18F425,AE2,88.7,NA,1,poop,Epinephelus_merra
MOO18F431,AE2,71.4,NA,1,poop,Epinephelus_merra
MOO18F446,AE2,76.2,NA,1,poop,Epinephelus_merra
MOO18F456,AE2,73,NA,1,poop,Epinephelus_merra
MOO18F460,AE2,81.8,NA,1,poop,Epinephelus_merra
MOO18F010,AE2,89.4,NA,1,poop,Gnathodentex_aureolineatus
MOO18F193,AE2,95.3,NA,1,poop,Halichoeres_hortulanus
MOO18F195,AE2,97,NA,1,poop,Halichoeres_hortulanus
MOO18F284,AE2,93.4,NA,1,poop,Halichoeres_hortulanus
MOO18F289,AE2,96.7,NA,1,poop,Halichoeres_hortulanus
MOO18F464,AE2,95.3,NA,1,poop,Halichoeres_hortulanus
MOO18F061,AE2,82.9,NA,1,poop,Melichthys_niger
MOO18F327,AE2,82.6,NA,1,poop,Melichthys_niger
MOO18FE072,AE2,77.2,NA,1,poop,Melichthys_niger
MOO18F356,AE2,56.2,NA,1,poop,Myripristis_berndti
MOO18FE095,AE2,52.7,NA,1,poop,Myripristis_berndti
MOO18FE098,AE1,11.7,0.3,3,poop,Myripristis_berndti
MOO18FE102,AE2,57.5,NA,1,poop,Myripristis_berndti
MOO18FE109,AE2,10.1,0.9,3,poop,Myripristis_berndti
MOO18F208,AE2,76,NA,1,poop,Neoniphon_sammara
MOO18F424,AE2,73,NA,1,poop,Neoniphon_sammara
MOO18FE097,AE2,72.8,NA,1,poop,Neoniphon_sammara
MOO18FE100,AE2,81.6,NA,1,poop,Neoniphon_sammara
MOO18FE152,AE2,75.6,NA,1,poop,Neoniphon_sammara
MOO18F230,AE2,14.9,NA,1,poop,Odonus_niger
MOO18F255,AE2,31.6,NA,1,poop,Odonus_niger
MOO18FE032,AE2,38.9,0.4,3,poop,Odonus_niger
MOO18FE088,AE1,18.2,1.8,3,poop,Odonus_niger
MOO18FE094,AE2,40.7,5.4,2,poop,Odonus_niger
MOO18F078,AE2,44.8,NA,1,poop,Paracirrhites_hemistictus
MOO18F080,AE2,46.2,NA,1,poop,Paracirrhites_hemistictus
MOO18F221,AE2,51.7,NA,1,poop,Paracirrhites_hemistictus
MOO18F272,AE2,55.2,NA,1,poop,Paracirrhites_hemistictus
MOO18F304,AE2,58.4,NA,1,poop,Paracirrhites_hemistictus
MOO18F110,AE2,52,1.3,2,poop,Parupeneus_multifasciatus
MOO18F241,AE2,62,0.3,2,poop,Parupeneus_multifasciatus
MOO18F243,AE2,66.8,3.6,3,poop,Parupeneus_multifasciatus
MOO18F287,AE2,25.6,0.1,2,poop,Parupeneus_multifasciatus
MOO18F439,AE2,32.3,0.4,2,poop,Parupeneus_multifasciatus
MOO18F091,AE2,65.3,NA,1,poop,Sargocentron_tiere
MOO18F338,AE2,69.4,NA,1,poop,Sargocentron_tiere
MOO18F342,AE2,82.1,NA,1,poop,Sargocentron_tiere
MOO18FE015,AE2,65.4,1.8,2,poop,Sargocentron_tiere
MOO18FE099,AE2,65.7,NA,1,poop,Sargocentron_tiere
MOO18F200,AE2,68.8,NA,1,poop,Stegastes_nigricans
MOO18F388,AE2,62.6,NA,1,poop,Stegastes_nigricans
MOO18F448,AE2,90.5,3.9,3,poop,Stegastes_nigricans
MOO18F452,AE2,78.5,NA,1,poop,Stegastes_nigricans
MOO18F072,AE2,41.2,NA,1,poop,Zanclus_cornutus
MOO18F074,AE2,47.6,NA,1,poop,Zanclus_cornutus
MOO18F394,AE2,54.3,NA,1,poop,Zanclus_cornutus
MOO18FE030,AE2,65.9,3.3,2,poop,Zanclus_cornutus
MOO18FE064,AE2,64.3,4.2,2,poop,Zanclus_cornutus
