key,id,species,priority,ID_CUP,Weight_CUP,Weight_CUP_sample_before,Weight_CUP_sample_after,ash_diet
AE1,MOO18F083,Paracirrhites_hemistictus,1,12,1.09424,1.11483,1.09676,0.1223895095
AE1,MOO18F084,Zanclus_cornutus,1,13,1.10105,1.1307,1.11823,0.5794266442
AE1,MOO18F085,Melichthys_niger,1,Pas de tube,,,,#DIV/0!
AE1,MOO18F087,Paracirrhites_hemistictus,1,14,1.14525,1.17131,1.15026,0.1922486569
AE1,MOO18F089,Melichthys_vidua,1,15,1.10564,1.10672,1.10587,0.212962963
AE1,MOO18F091,Sargocentron_tiere,1,16,1.0814,1.13278,1.08851,0.1383806929
AE1,MOO18F092,Chaetodon_vagabundus,0,17,1.09138,1.10016,1.09202,0.0728929385
AE1,MOO18F096,Naso_lituratus,0,18,1.113,1.14466,1.11995,0.2195198989
AE1,MOO18F099,Chlorurus_spilurus,1,19,1.13844,1.18081,1.17068,0.7609157423
AE1,MOO18F103,Balistapus_undulatus,1,vide,,,,#DIV/0!
AE1,MOO18F104,Aulostomus_chinensis,1,20,1.13875,1.14291,1.13932,0.1370192308
AE1,MOO18F107,Epibulus_insidiator,0,21,1.10448,1.10584,1.10489,0.3014705882
AE1,MOO18F110,Parupeneus_multifasciatus,0,22,1.07585,1.08487,1.0807,0.5376940133
AE1,MOO18F112,Chaetodon_vagabundus,0,23,1.11006,1.11573,1.11076,0.1234567901
AE1,MOO18F114,Melichthys_vidua,0,24,1.12067,1.14795,1.14056,0.7291055718
AE1,MOO18F126,Parupeneus_multifasciatus,1,25,1.06784,1.0802,1.07248,0.3754045307
AE1,MOO18F128,Balistapus_undulatus,0,26,1.15942,1.20344,1.19484,0.8046342572
AE1,MOO18F129,Cephalopholis_urodeta,1,27,1.11386,1.1658,1.12619,0.2373892953
AE1,MOO18F132,Halichoeres_hortulanus,0,28,1.1118,1.12232,1.12083,0.858365019
AE1,MOO18F141,Halichoeres_hortulanus,0,29,1.1376,1.16977,1.16567,0.8725520671
