id,location,sitename,sitenumber,lat,long,habitat,date,time,family,species,weight,tl,sl,sex,w_liv,w_gon,ae1,ae2,key,n,c,p
MOO18F001,Moorea,BoatRamp,S1,-17.48498,-149.85851,Lagoon,18/03/2018,11:00-13:00,Acanthuridae,Ctenochaetus striatus,120.2,18.5,12.8,NA,NA,NA,0,1,AE2,3.0538061466,19.4121985816,0.0951957311
MOO18F003,Moorea,BoatRamp,S1,-17.48498,-149.85851,Lagoon,18/03/2018,11:00-13:00,Acanthuridae,Zebrasoma scopas,97.3,16.2,12.5,NA,NA,NA,0,1,AE2,2.5115428571,24.3762857143,0.3153388885
MOO18F004,Moorea,BoatRamp,S1,-17.48498,-149.85851,Lagoon,18/03/2018,11:00-13:00,Acanthuridae,Zebrasoma scopas,80.8,15.2,13,NA,NA,NA,0,1,AE2,1.8522850123,24.5971498771,0.2769287297
MOO18F006,Moorea,BoatRamp,S1,-17.48498,-149.85851,Lagoon,18/03/2018,11:00-13:00,Balistidae,Melichthys vidua,330.8,22,17.5,NA,NA,NA,0,1,AE2,2.8763414634,20.103902439,1.0370970703
MOO18F010,Moorea,BoatRamp,S1,-17.48498,-149.85851,Lagoon,18/03/2018,11:00-13:00,Lethrinidae,Gnathodentex aureolineatus,121.3,22.2,17.8,F,NA,NA,0,1,AE2,2.1864444444,21.4276444444,0.6937106305
MOO18F011,Moorea,BoatRamp,S1,-17.48498,-149.85851,Lagoon,18/03/2018,11:00-13:00,Lethrinidae,Gnathodentex aureolineatus,148.4,22.1,18.1,M,NA,NA,0,1,AE2,5.5648450704,35.3430422535,2.7600183305
MOO18F016,Moorea,OpunohuLeft,S2,-17.49011,-149.8553,Lagoon,18/03/2018,15:30-16:15,Acanthuridae,Zebrasoma scopas,70.9,15,13,NA,NA,NA,0,1,AE2,1.6217484009,21.3843923241,0.2372692159
MOO18F017,Moorea,OpunohuLeft,S2,-17.49011,-149.8553,Lagoon,18/03/2018,15:30-16:15,Zanclidae,Zanclus cornutus,65.2,14,11,NA,NA,NA,0,1,AE2,2.18452,20.04868,0.2943708517
MOO18F020,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Serranidae,Cephalopholis argus,275.9,26.5,24,NA,NA,NA,0,1,AE2,4.8420918367,19.7559693878,1.7475043013
MOO18F021,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Chaetodontidae,Chaetodon ornatissimus,33.5,10.7,9.6,NA,NA,NA,0,1,AE2,3.4707848837,30.6674418605,0.7744162928
MOO18F023,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Serranidae,Cephalopholis argus,321.2,26,23.2,F,NA,NA,0,1,AE2,6.961875,11.78575,8.1772436601
MOO18F025,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Balistidae,Melichthys vidua,215,20,16,F,NA,NA,0,1,AE2,1.2323979592,19.9326530612,0.1745267836
MOO18F026,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Acanthuridae,Acanthurus nigricans,119.1,17.2,14,F,NA,NA,0,1,AE2,3.2501416431,29.059490085,0.386579
MOO18F027,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Acanthuridae,Zebrasoma scopas,117.1,17.5,14.6,NA,NA,NA,0,1,AE2,5.5822680412,23.1818041237,0.400224453
MOO18F030,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Acanthuridae,Ctenochaetus striatus,61.5,15.5,11,NA,NA,NA,0,1,AE2,4.5097340426,17.2342553191,0.0932997308
