Species,Family,Diet,Diet C (%),Diet N (%),Diet P (%),Feces C (%),Feces N (%),Feces P (%),AE C,AE N,AE P
Naso lituratus,Acanthuridae,herbivore,34.6 (30.5-38.6),3.1 (2.2-4.1),0.3 (0.2-0.4),28.9 (27.2-30.7),2.3 (1.6-3.1),0.3 (0.2-0.5),0.4 (0.3-0.5),0.4 (0.1-0.6),0.2 (-0.4-0.5)
Acanthurus triostegus,Acanthuridae,herbivore,32.8 (30.5-35.2),3.5 (3-4.1),0.3 (0.2-0.4),33 (30-36.2),5.3 (4.2-6.3),0.4 (0.3-0.5),0.3 (0.2-0.3),-0.1 (-0.4-0.2),0 (-0.4-0.4)
Ctenochaetus striatus,Acanthuridae,detritivore,16.6 (13.7-20.6),1.3 (0.3-2.7),0.1 (0-0.1),18.1 (16.1-20.1),1.4 (0.8-2.2),0.2 (0.1-0.2),0 (-0.3-0.2),-0.5 (-3.6-0.6),-1.6 (-3.5--0.5)
Zebrasoma scopas,Acanthuridae,herbivore,35.7 (34.8-36.6),5 (4.4-5.5),0.4 (0.4-0.5),22.5 (21.9-23.2),2.2 (2.1-2.4),0.3 (0.3-0.3),0.5 (0.5-0.5),0.6 (0.6-0.7),0.4 (0.3-0.5)
Acanthurus nigricans,Acanthuridae,herbivore,33.2 (31.2-35.5),4.2 (2.7-5.9),0.4 (0.3-0.5),23.6 (21.8-25.5),2.3 (2-2.6),0.3 (0.3-0.4),0.5 (0.4-0.5),0.6 (0.4-0.7),0.4 (0.2-0.6)
Acanthurus achilles,Acanthuridae,herbivore,32.9 (27.8-38.4),3.4 (2.4-4.5),0.7 (0.2-1.3),24.4 (22.3-26.7),4.4 (2.9-5.9),0.4 (0.3-0.6),0.5 (0.3-0.5),0 (-0.5-0.4),0.2 (-0.3-0.8)
Acanthurus pyroferus,Acanthuridae,detritivore,10 (9.1-11.1),0.9 (0.2-2.2),0.2 (0.2-0.3),15.5 (14.3-16.8),5.1 (2.8-7.4),0.4 (0.1-1.1),-0.1 (-0.3-0),-7.2 (-18.7--0.4),-0.4 (-2.6-0.7)
Acanthurus guttatus,Acanthuridae,herbivore,23.2 (19.5-27.2),3.9 (2.6-5.4),0.3 (0.1-0.6),23 (20.3-25.5),5.8 (4.4-7.1),0.5 (0.3-0.6),0.3 (0.1-0.4),-0.1 (-0.7-0.3),-0.3 (-1.9-0.5)
Acanthurus olivaceus,Acanthuridae,detritivore,14.9 (12.9-16.9),1 (0.2-2),0.3 (0.1-0.5),17.7 (15.3-20.1),1.1 (0.4-2),0.4 (0.3-0.5),-0.1 (-0.4-0.1),-2.1 (-4.9-0.7),-0.9 (-3.3-0.3)
Acanthurus lineatus,Acanthuridae,herbivore,28.5 (25.8-31.1),3.2 (2.2-4.3),0.6 (0.3-0.9),27.8 (24.6-31),3 (1.9-4.2),0.8 (0.5-1.2),0.2 (0-0.3),0.2 (-0.3-0.5),-0.2 (-1.3-0.4)
Aulostomus chinensis,Aulostomidae,carnivore,39.2 (36.4-41.8),11.5 (9.5-13.2),1.6 (0.8-2.4),32.4 (20.8-43.9),7.8 (4.8-10.4),1.4 (0.5-2.3),0.5 (0.3-0.7),0.6 (0.4-0.7),0.4 (-0.3-0.8)
Melichthys niger,Balistidae,herbivore,22.6 (18.7-26.6),2.6 (1.6-3.7),0.4 (0.3-0.6),18 (16.9-19.4),1.5 (0.9-2.1),0.2 (0.1-0.3),0.6 (0.5-0.7),0.7 (0.5-0.8),0.8 (0.6-0.9)
Melichthys vidua,Balistidae,herbivore,28 (24.2-31.7),4 (2.2-6.1),0.6 (0.3-0.8),21.5 (20.4-22.7),1.6 (1.3-2),0.4 (0.3-0.6),0.5 (0.4-0.6),0.7 (0.5-0.8),0.5 (0.1-0.7)
Balistapus undulatus,Balistidae,mixed invertivore,24.5 (18.9-30.4),2.1 (0.8-3.6),0.5 (0.3-0.6),20.3 (17.3-23.2),1.8 (1.1-2.6),0.3 (0.2-0.4),0.4 (0.2-0.6),0.2 (-0.6-0.7),0.5 (0.2-0.7)
Sufflamen bursa,Balistidae,mixed invertivore,21.6 (19.1-24.2),2.3 (1.2-3.9),0.6 (0.4-0.9),24.8 (20.4-29.5),3 (2.1-4.1),0.6 (0.4-0.7),0.1 (0-0.3),0 (-0.9-0.5),0.3 (-0.2-0.6)
Odonus niger,Balistidae,mixed invertivore,37.9 (34-42),7.2 (5.8-8.6),1.1 (0.8-1.4),30.6 (25-36.4),5.5 (4.1-6.8),1.1 (0.7-1.4),0.3 (0.2-0.5),0.4 (0.2-0.6),0.2 (-0.2-0.5)
Rhinecanthus aculeatus,Balistidae,mixed invertivore,19.2 (14.5-24.2),1.5 (0.7-2.4),0.5 (0.3-0.7),16.4 (15.2-17.7),7.8 (5-10.3),0.5 (0.3-0.6),0.3 (0.1-0.5),-3.5 (-8.1--1.2),0.3 (-0.3-0.6)
Chaetodon vagabundus,Chaetodontidae,corallivore,42.7 (40.8-44.5),7.4 (7-8),0.8 (0.7-1),34.9 (31.2-38.7),5.5 (4.7-6.3),0.9 (0.6-1.2),0.4 (0.3-0.5),0.5 (0.4-0.6),0.2 (-0.1-0.5)
Chaetodon reticulatus,Chaetodontidae,corallivore,40 (38.4-41.6),7.5 (7.1-8.1),1 (0.7-1.5),29.3 (28.2-30.3),3.7 (3.5-4),0.9 (0.7-1.1),0.8 (0.7-0.8),0.8 (0.8-0.8),0.7 (0.6-0.8)
Chaetodon ornatissimus,Chaetodontidae,corallivore,37.3 (35.3-39.3),7 (6.2-7.8),0.9 (0.8-1.1),25.2 (23.9-26.5),2.9 (2.6-3.2),0.8 (0.6-0.9),0.8 (0.8-0.8),0.9 (0.9-0.9),0.8 (0.7-0.8)
Chaetodon auriga,Chaetodontidae,corallivore,43.2 (38.3-48.5),6 (3.6-8.8),0.7 (0.5-0.8),36.9 (29.5-44.2),6.8 (3.5-10.7),0.7 (0.6-0.9),0.6 (0.5-0.7),0.5 (0-0.7),0.5 (0.3-0.6)
Heniochus chrysostomus,Chaetodontidae,corallivore,38.9 (36.1-41.4),7.2 (6.5-7.9),1.1 (0.9-1.2),29.5 (24.6-34.7),5.7 (3.6-7.8),1 (0.7-1.4),0.7 (0.7-0.8),0.7 (0.6-0.8),0.6 (0.5-0.8)
Chaetodon lunulatus,Chaetodontidae,corallivore,37 (29.3-45.2),4.8 (3.1-6.4),0.7 (0.4-1),31.1 (26.4-37.4),7.8 (5.3-10.2),0.8 (0.4-1.4),0.8 (0.7-0.8),0.5 (0.2-0.7),0.6 (0.2-0.8)
Forcipiger flavissimus,Chaetodontidae,mixed invertivore,36 (27-42.1),7.4 (3.7-11),1 (0.3-1.8),22.5 (18.9-30),9 (6.9-11),0.7 (0.6-0.9),0.5 (0.2-0.6),-0.1 (-1-0.4),0 (-1.1-0.7)
Chaetodon citrinellus,Chaetodontidae,corallivore,35.7 (25.9-44.7),5.4 (3.9-7),1.2 (0.5-1.8),33 (28.1-37.9),7.3 (4.3-10.2),0.7 (0.5-1),0.6 (0.5-0.7),0.5 (0.2-0.7),0.7 (0.4-0.9)
Chaetodon ephippium,Chaetodontidae,corallivore,39.1 (36.5-41.8),7.6 (6.5-8.6),0.9 (0.5-1.4),26.1 (20.9-31.5),3.1 (2-4.3),1.3 (0.6-2),0.8 (0.7-0.8),0.8 (0.8-0.9),0.4 (-0.1-0.8)
