Species,Family,Diet,Diet C (%),Diet N (%),Diet P (%),Feces C (%),Feces N (%),Feces P (%)
Naso lituratus,Acanthuridae,herbivore,34.6 (30.5-38.7),3.1 (2.1-4.1),0.3 (0.2-0.4),28.9 (27.1-30.6),2.3 (1.7-3.1),0.3 (0.2-0.5)
Acanthurus triostegus,Acanthuridae,herbivore,32.8 (30.6-35.2),3.5 (3-4),0.3 (0.2-0.4),33 (29.9-36),5.3 (4.2-6.3),0.4 (0.3-0.5)
Ctenochaetus striatus,Acanthuridae,detritivore,16.6 (13.6-20.4),1.3 (0.3-2.7),0.1 (0-0.1),18.1 (16-20),1.4 (0.8-2.2),0.2 (0.1-0.2)
Zebrasoma scopas,Acanthuridae,herbivore,35.7 (34.8-36.5),5 (4.4-5.5),0.4 (0.4-0.5),22.5 (21.9-23.2),2.2 (2-2.4),0.3 (0.3-0.3)
Acanthurus nigricans,Acanthuridae,herbivore,33.2 (31.1-35.5),4.2 (2.7-5.9),0.4 (0.3-0.5),23.6 (21.7-25.5),2.3 (2-2.6),0.3 (0.3-0.4)
Acanthurus achilles,Acanthuridae,herbivore,32.8 (27.9-37.8),3.4 (2.3-4.6),0.7 (0.2-1.3),24.4 (22.3-26.8),4.4 (2.9-6),0.4 (0.3-0.6)
Acanthurus pyroferus,Acanthuridae,detritivore,10 (9.1-11.1),0.9 (0.2-2.2),0.2 (0.2-0.3),15.5 (14.3-16.8),5.1 (2.6-7.5),0.4 (0.1-1.1)
Acanthurus guttatus,Acanthuridae,herbivore,23.2 (19.2-27.2),3.9 (2.6-5.4),0.3 (0.1-0.6),23 (20.3-25.5),5.7 (4.3-7.1),0.5 (0.3-0.6)
Acanthurus olivaceus,Acanthuridae,detritivore,14.9 (13.1-17),1 (0.2-1.9),0.3 (0.1-0.5),17.6 (15.2-20.1),1.1 (0.4-2.1),0.4 (0.2-0.5)
Acanthurus lineatus,Acanthuridae,herbivore,28.4 (25.8-31.1),3.2 (2.1-4.3),0.6 (0.3-0.9),27.9 (24.8-31.3),3 (1.9-4.2),0.8 (0.5-1.2)
Aulostomus chinensis,Aulostomidae,carnivore,39.1 (36.4-41.8),11.4 (9.6-13.3),1.6 (0.8-2.4),32.3 (20.9-43.5),7.8 (5-10.2),1.4 (0.5-2.3)
Melichthys niger,Balistidae,herbivore,22.5 (18.5-26.4),2.6 (1.6-3.7),0.4 (0.3-0.6),18 (16.8-19.4),1.5 (0.9-2.1),0.2 (0.1-0.3)
Melichthys vidua,Balistidae,herbivore,28 (24.3-31.7),4 (2.3-6),0.6 (0.3-0.8),21.5 (20.4-22.7),1.6 (1.3-2),0.4 (0.3-0.6)
