Species,Family,Diet,AE C,AE N,AE P
Naso lituratus,Acanthuridae,herbivore,0.38 (0.3-0.46),0.44 (0.15-0.64),0.17 (-0.37-0.53)
Acanthurus triostegus,Acanthuridae,herbivore,0.26 (0.17-0.35),-0.1 (-0.39-0.16),0.04 (-0.41-0.37)
Ctenochaetus striatus,Acanthuridae,detritivore,-0.04 (-0.28-0.2),-0.55 (-3.6-0.56),-1.57 (-3.45--0.45)
Zebrasoma scopas,Acanthuridae,herbivore,0.48 (0.46-0.5),0.63 (0.58-0.68),0.43 (0.33-0.51)
Acanthurus nigricans,Acanthuridae,herbivore,0.49 (0.44-0.54),0.59 (0.39-0.72),0.44 (0.19-0.61)
Acanthurus achilles,Acanthuridae,herbivore,0.45 (0.35-0.55),0.03 (-0.49-0.42),0.18 (-0.31-0.79)
Acanthurus pyroferus,Acanthuridae,detritivore,-0.14 (-0.29-0),-7.18 (-18.7--0.39),-0.37 (-2.65-0.68)
Acanthurus guttatus,Acanthuridae,herbivore,0.27 (0.11-0.41),-0.11 (-0.68-0.29),-0.26 (-1.86-0.47)
Acanthurus olivaceus,Acanthuridae,detritivore,-0.13 (-0.36-0.07),-2.06 (-4.9-0.7),-0.92 (-3.26-0.34)
Acanthurus lineatus,Acanthuridae,herbivore,0.16 (0.03-0.28),0.17 (-0.29-0.53),-0.25 (-1.26-0.35)
Aulostomus chinensis,Aulostomidae,carnivore,0.46 (0.25-0.65),0.55 (0.37-0.73),0.36 (-0.34-0.79)
Melichthys niger,Balistidae,herbivore,0.59 (0.51-0.66),0.7 (0.49-0.84),0.76 (0.6-0.86)
Melichthys vidua,Balistidae,herbivore,0.49 (0.4-0.55),0.71 (0.48-0.83),0.49 (0.11-0.73)
Balistapus undulatus,Balistidae,mixed invertivore,0.41 (0.23-0.56),0.24 (-0.58-0.7),0.5 (0.19-0.71)
Sufflamen bursa,Balistidae,mixed invertivore,0.15 (-0.05-0.32),-0.05 (-0.95-0.47),0.29 (-0.23-0.59)
Odonus niger,Balistidae,mixed invertivore,0.35 (0.2-0.48),0.39 (0.17-0.56),0.23 (-0.15-0.51)
Rhinecanthus aculeatus,Balistidae,mixed invertivore,0.3 (0.08-0.46),-3.55 (-8.05--1.2),0.27 (-0.25-0.59)
Chaetodon vagabundus,Chaetodontidae,corallivore,0.41 (0.34-0.47),0.47 (0.39-0.55),0.2 (-0.1-0.48)
Chaetodon reticulatus,Chaetodontidae,corallivore,0.75 (0.74-0.77),0.83 (0.82-0.85),0.7 (0.59-0.79)
Chaetodon ornatissimus,Chaetodontidae,corallivore,0.8 (0.78-0.81),0.88 (0.86-0.89),0.75 (0.68-0.81)
Chaetodon auriga,Chaetodontidae,corallivore,0.6 (0.51-0.69),0.45 (-0.03-0.75),0.48 (0.29-0.63)
Heniochus chrysostomus,Chaetodontidae,corallivore,0.72 (0.66-0.77),0.7 (0.59-0.81),0.63 (0.5-0.76)
