species,location,c1_m,c1_sd,c1_lb,c1_ub,c2_m,c2_sd,c2_lb,c2_q3,n1_m,n1_sd,n1_lb,n1_ub,n2_m,n2_sd,n2_lb,n2_ub,p1_m,p1_sd,p1_lb,p1_ub,p2_m,p2_sd,p2_lb,p2_ub,ac_m,ac_sd,ac_lb,ac_ub,an_m,an_sd,an_lb,an_ub,ap_m,ap_sd,ap_lb,ap_ub,family,n_ae1,n_ae2
Abudefduf septemfasciatus,Moorea,38.98856989526928,4.7476558408513085,29.47871546037064,48.38898355044905,21.845811902616173,1.5999481135783706,18.511701187772324,24.916046075012986,5.8733412718011815,0.8316208366752537,4.186602923932279,7.496374397619257,2.532664669630224,0.5858127787035916,1.3230689970806089,3.6818140368790453,0.9150118483069002,0.15534573992918924,0.6391574138859416,1.2624256671264926,0.7060730971314498,0.1459377578727119,0.3837625126126843,0.9617334179671453,0.43114970973052,0.08280690899366881,0.24225659480953407,0.572435265730807,0.5600654307507148,0.12043149251281197,0.29293003229360925,0.7793813466907029,0.21967031199294115,0.1493507485852728,0.012260730370314124,0.5636923978081757,Pomacentridae,7,7
Abudefduf sexfasciatus,Moorea,35.175283647971206,3.6677589492088853,28.92761784964341,43.28711493291383,31.284935296526875,3.3834413830312764,23.903973697712846,37.43426670549237,6.537464416877663,1.254601424133473,4.376604749434438,9.312844423476129,5.512157480515444,1.2848094727753583,2.712881093170839,7.880951393813304,0.9791640933975672,0.2871866044699458,0.49617949712527254,1.631911357255665,0.7233666969680248,0.22194440613608168,0.24010561772241742,1.1312940759238619,0.10703123082104458,0.08440407634045763,0.004056495586532388,0.3197849879513624,0.15504971854524421,0.13510287373855207,0.0054138810865024065,0.49918682092579786,0.246971474933067,0.1799089542461401,0.011748529524675252,0.6762660037155637,Pomacentridae,5,9
Abudefduf sexfasciatus,Tetiaroa,44.26226956406816,2.649281296387138,39.560171631576424,50.0822800085722,37.16942236885472,2.7225949248849037,31.244439164144286,42.102397703703815,7.1408611229779675,0.6854681976227532,5.761301253914904,8.524393218518327,6.008888430012117,1.0702774821505217,3.4483020647480713,7.682435384169175,0.5422941227814945,0.17214922785195502,0.24538600393804597,0.9293122448394341,0.35459114799636476,0.1697826505538965,0.046003326761177674,0.694778205854593,0.1576436912054029,0.07498999206631533,0.022168554518065847,0.3148294728221855,0.15781445353358603,0.13220244537327594,0.006347491475477089,0.49962593647893727,0.34756333223798047,0.23897945348649038,0.017095675342094323,0.8766793086235513,Pomacentridae,10,7
Acanthurus achilles,Moorea,32.94326263562296,2.5865494797032076,27.874810991229964,38.280222020285784,24.343951288646252,1.1415016131734932,22.119568141873877,26.704074961236685,4.061158001873392,0.6727319327552155,2.916719854479079,5.562636186348789,3.372958164380766,0.7073054175130694,1.8266955307141672,4.678751790185644,0.7431791408052376,0.24366296771523366,0.3948694829067497,1.3019916097800344,0.40818578432684277,0.07610272780785156,0.2630508475644818,0.5811476114575364,0.2565435449130389,0.0674243009273555,0.11087958631778679,0.3799825473429514,0.16596766470465388,0.1359523956357604,0.00731390799410527,0.5110597938088087,0.40305146066557745,0.1831252687388778,0.04190343044191784,0.7166612120958467,Acanthuridae,8,9
Acanthurus guttatus,Moorea,24.504147989535465,1.8046112032912969,21.91438953456032,28.840828865331932,22.259626005417434,1.2401080357708327,19.592742006418447,24.47164879335837,5.436533393787435,1.0755780884527009,3.7536198232808755,7.91679826660212,4.70075730038755,0.9036272061600001,2.7312786298827607,6.335539991812632,0.5220070888812789,0.13029578502638342,0.3250421804873632,0.8487205773997272,0.42122303549299184,0.07408588852650284,0.25544941171603064,0.5508680201687458,0.08828843892111418,0.06474964057808788,0.004521582823488261,0.24504842017318879,0.12897837798514353,0.11410733312136649,0.004620667915133618,0.4136683664349614,0.1724597480846646,0.1353614981750681,0.00577122542617765,0.5043979687542532,Acanthuridae,5,9
Acanthurus lineatus,Moorea,28.98788588284172,1.1963238827264047,26.923926434683402,31.673096853466603,26.929089750186556,1.5693007810926962,23.215087068667877,29.181182345902943,3.4953246974021277,0.5863892667924095,2.507539692717768,4.887495546044792,2.6158074533263638,0.5731516096476194,1.2331223068647037,3.609363740251069,0.7137759177475627,0.17486182303027714,0.43204880166071025,1.092797120123589,0.5416002237423448,0.1834844325067847,0.12640423408663587,0.8586432658694366,0.0700444037536971,0.057197892614839776,0.0034582481462914535,0.20870090197415447,0.24245463168340317,0.16157506018328655,0.01475939543872892,0.6309060467334147,0.24106257178941082,0.19995805384613213,0.007876081417408278,0.7749353187191785,Acanthuridae,6,5
Acanthurus nigricans,Moorea,33.274096748399536,1.149420770679529,31.15651869307106,35.727315794876894,23.560967377903708,0.9744795460698543,21.666593437188816,25.49610857158393,4.340652798751494,0.8451817169349097,2.832277314980054,6.134132845710884,2.2968256675745087,0.16673388369295844,1.9777459844617657,2.633319450085554,0.4122921243784606,0.05479872972884306,0.3169024902941625,0.5293611931672949,0.3059369848211043,0.02978615297264874,0.24770450356694557,0.36474151602986754,0.29108646240271385,0.03789738178125621,0.21241421314742226,0.36405372548538195,0.45062329580597404,0.1147864697867817,0.18603194227863912,0.6369170956544503,0.24657388433992822,0.11172643184971227,0.03585999539601042,0.46093082250669776,Acanthuridae,10,15
Acanthurus olivaceus,Moorea,16.8326986329373,2.333100431786516,14.06642160370097,22.838134615031144,15.166191366624009,2.1790647160075283,9.945188783229275,18.47549368920732,1.3157790910886364,0.6873047735584293,0.412888266185584,3.090740578272986,0.7827354370432535,0.3672224763241273,0.0935837823881299,1.5328409294869965,0.39557425633411203,0.15138749356654413,0.1952229894164904,0.7791639074365421,0.29688998858400567,0.0941759102956279,0.08619765354370815,0.4542274126138191,0.09522606200357539,0.1025785519333752,0.0019583653543098593,0.37684487036576647,0.36806050778756516,0.23511394134603883,0.020963155723963477,0.8829541841194475,0.22668181144764749,0.18515989222500767,0.007454520118226766,0.694143169515886,Acanthuridae,4,5
Acanthurus pyroferus,Moorea,11.925992485619842,2.6386786603272516,9.441750617945996,17.73101185545455,10.849975850957831,2.798844925719326,6.19539579889861,15.868929023934015,1.6674473292579786,0.9798396952044134,0.2754840247888482,4.150053667521419,1.1086676923297418,0.883434115551822,0.04754414314088959,3.437593858480311,0.2347425722583108,0.02784475972702222,0.18092528656282716,0.2910214872742375,0.14890681504132497,0.06403000174489167,0.0178110606909922,0.25041871239602476,0.09372470396705174,0.10289916562580287,0.0017490676240286577,0.38833676502213366,0.37037654611715426,0.2608962246685238,0.014323657100623567,0.9282364566829889,0.36714972443667837,0.2585238992836774,0.016542065200599712,0.9195227463453548,Acanthuridae,8,8
Acanthurus triostegus,Moorea,33.42778628912539,1.084071622063554,31.515838813769395,35.79767890029368,31.851575236120375,1.2474148661573823,29.141274073215314,34.09832440378628,3.8194246181770635,0.346976588208138,3.251616669195464,4.629774925650368,3.4772766104111454,0.48715381340056346,2.438583161076722,4.364204725547316,0.3631794417338573,0.04339396157591129,0.2855231012307429,0.45718866406556735,0.31991967375697966,0.050188248912233883,0.21070868679394836,0.4103385462650799,0.0467193034577428,0.03539147538804129,0.0021726479006215715,0.137355885507047,0.08995480748317272,0.09480663046209621,0.0023385860630382653,0.3525252165902951,0.11758461384762196,0.10522816677183885,0.004031811379242381,0.3903616011746491,Acanthuridae,11,12
